,Name,account_url,bio,post_desc,post_img
0,Shailendra Singh,https://www.linkedin.com/in/shailendra-singh-8645a014?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAALvKswBwx8BiMV7TuS_473RbdHfUx9pxpc,Founder & CEO SustainMantra | Demystifying Sustainability for MSME Companies| Circular Economy| Plastic Circularity |B2B Sales Coach | Chemicals,"Indian Plastic Waste Management- A Contrarian View
After having engaged with regulators, plastics industry, start-ups , packaging companies, recyclers, NGO's & other stakeholders & observing the narrative on this emotional subject of , I have penned a few thoughts on the state of regulations in PWM in India. Our regulators are going overboard and being influenced with foreign consultants who have no idea of the situation on the ground and how to integrate India's inherent strengths and leverage them into the regulations. The regulatory bodies in our country would be well advised to be ""AtmaNirbhar"" in their thinking as well.
Sharing my article in , published in this month , for your consideration and comments.
welcome your feedback.",
1,Aishwarya Jain,https://www.linkedin.com/in/aishwarya-jain-28194b91?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABOKC8EBnfNAFjL5UQnCXjS_GoORHCuIQMU,Lawyer | Waste management consultant,"UK based charity, WRAP has published a Textile Policy Options report and a Cost Benefit Analysis report providing evidence based policy recommendations on management of textile waste through the following measures:

- Introduction of extended producer responsibility (EPR) for textile waste
- Modulated fees under the EPR scheme for harder to recycle and non-recyclable textile products
- Eco-design standards for products for durability and recyclability
- Eco-labelling to inform consumers on recyclability, responsible production, improved materials, etc. of the product
- Separate collection of textile waste
- Ban on landfill and incineration of textile waste
- Tax rebate on textile products having more than minimum recycled content
- Financial support for textile production and management infrastructure
- National communication campaigns for behavioural change of customers

has suggested that implementation of a combination of the above measures will enable successful management and halve the quantity of residual textile waste in UK by 2030-35. However, it appears that these measures will be implemented much farther in the future given UK's current focus on EPR for plastic packaging.",
2,Aman Gupta,https://www.linkedin.com/in/aman-gupta-439349236?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADrIhy0Bul5eLotExy9XG249z01kfZDy11k,Project Manager- EPR & AFR at Pro India Recycling,"Extended Producer Responsibility (EPR) and Alternative Fuel Resources (AFR) are two sides of the same coin - both are essential for creating a circular economy. By adopting EPR policies and exploring AFR options, businesses can reduce waste and increase sustainability.
Using plastic waste as an Alternative Fuel Resource (AFR) in cement coprocessing is a promising solution for reducing plastic waste and increasing sustainability. When plastic waste is used as AFR, it is burned at high temperatures along with other fuels like coal, oil, or natural gas to generate heat in the cement manufacturing process. This helps to reduce the use of fossil fuels and can also lower carbon emissions.
At the same time, cement companies can also benefit from Extended Producer Responsibility (EPR) policies. EPR policies require producers to take responsibility for their products' entire lifecycle, including disposal and recycling. By adopting EPR policies, cement companies can reduce the environmental impact of their products and create a more sustainable supply chain.
Overall, using plastic waste as AFR in cement coprocessing and adopting EPR policies are complementary strategies that can help to reduce waste, increase sustainability, and create new business opportunities for cement companies.
                 
         ",https://media.licdn.com/dms/image/D4D22AQGUXTATd9V-WA/feedshare-shrink_800/0/1679910635538?e=1683158400&v=beta&t=_Dl2IzQLjfe8WgGv4rX8q_kAv8ZLcZT6Z_GyE-8Po8k
3,Purushothaman venugopal,https://www.linkedin.com/in/purushothaman-venugopal-16a92a28?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAXVEmIBcmV2Lnw4N7hW5ncbCvMM0TpdUPQ,"EHS Head - CPSD,EFM,CAD,CPAG & CRBG groups at Blue Star Limited","CPCB has recently announced a separate portal for EPR - Battery Waste Management. Also released the SOP in this regard.

Portal address .",
4,Sumit Mishra,https://www.linkedin.com/in/sumit-mishra-6b3928161?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACbCF-cBogc34elNfkIlYaCaLNeXjHu5BKE,Client Relationship (BD) Waste Management || Sourcing - IT || EPR E-Waste || Tyre EPR || EPR Compliance || Liasoning || Environmental Consulting || Legal Consulting |,"CPCB has launched an online portal for Battery waste EPR registration.

Through our #services, you can register as an #EPR registration under stakeholders defined as , , and


           ",https://media.licdn.com/dms/image/C4D22AQETCdmyNudrcQ/feedshare-shrink_800/0/1679469891628?e=1683158400&v=beta&t=WwRxPH8lApn9mOXabMC1Kc1qJEXjUyaKX2thk7GlDFU
5,Manojkumar Mishra,https://www.linkedin.com/in/manojkumar-mishra?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABjvll0BN7cH7nDPDkZtSx2XehYyN_LnE0s,Trying to change the perspective | Circular Economy | Sustainability | Waste Management |EPR CSR,"The #recycling of #post-#consumer #plastic has become a crucial component of any #sustainability effort.

By plastic that has already been used, we can conserve resources, reduce greenhouse gas emissions, and prevent plastic from ending up in and .

However, it is not enough to simply recycle plastic waste. We must also ensure that the recycling is conducted in a way that is sustainable and environmentally responsible, to avoid .

In this regards, We visited and cross check the recycling facility and sourcing of post consumer plastic. We believe that just fulfilment of targets without knowing the traceability and process is not a sustainable approach towards the environment.",https://media.licdn.com/dms/image/C4D22AQEyB54woGqJFw/feedshare-shrink_800/0/1679489420962?e=1683158400&v=beta&t=uan5bqju4b844B8iJ2Kh1r65hUfjLig_QtSKE7hRXMI
6,Priyanka Porwal,https://www.linkedin.com/in/priyanka-porwal-84425b30?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAZxu_QBFHuCbveIMqHR4-4DiR-PFbhDAN4,Project Lead- E-waste Management at Frametrics Consulting Pvt Ltd,"Step towards integration of informal actors in e- waste management.
# Dr. Sandip Chatterjee and Ministry of Electronics and Information Technology",
7,Akshaya Rath,https://www.linkedin.com/in/akshayarath?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAACoJGMBjd2zp0HsSBAYsd865sSMYSZDvpM,Co-founder & CEO - Ecoex,"Do you think #plastic and #sustainability cannot go hand in hand, then you are absolutely wrong. There is a misconception that all plastics cannot be #recycled and will end up in landfills polluting the environment. But some #plastic waste can be easily recycled.

Plastic packagings need to be designed to be recycle friendly and efforts to be put in to improve circular economy.

All PIBOs’ need to pledge to actively meet their EPR liability and fund the recycling industry.

Join Ecoex - your one stop solution for meeting your EPR target across categories and geographies. Ecoex portal has built in Procure to Pay solution and facilitates the entire process of acquiring EPR credit certificates.

Call our experts for any assistance @ 8447767568
“Act now ! And Register today! Or else get ready for Environmental compensation levy.
For Plastic EPR Registration Click here:  
For Marketplace Info:  
For More:

 ",https://media.licdn.com/dms/image/D5622AQHEOMGEJcdW7Q/feedshare-shrink_800/0/1679997341615?e=1683158400&v=beta&t=SzFO010K_PkW58g-b9_2ME5DrKIsWtkUqy4EdbSHU8c
8,Niha Khan,https://www.linkedin.com/in/niha-khan-b945336?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAElaeABC-C3dwrVCTYgOTyn3kd03o6yjC0,Partnership & Alliances at 3R Recycler Private Limited,"EPR MANAGEMENT SERVICES

EPR (Extended Producer's Responsibility) is the most important step towards the future of waste management and recycling in India.

3R Recycler having state of the art recycling facilities and the advanced technology equipment are built to cater to the EPR mandates of producers manufacturing batteries, electronics, electrical components and tire recycling across India.

With the updated E-Waste Management and Battery Waste Management Rules 2022, we are assisting producers with end-to-end EPR management.

Contact us for more details:

Toll free:-1800 212 8632
Email:-
Web:-

#",https://media.licdn.com/dms/image/D4D22AQGq1rOpRQnC4w/feedshare-shrink_800/0/1679983463096?e=1683158400&v=beta&t=WRc_RCoidUiF9boGId3GHmEVHrUePxJxq3iPRp2k0gE
9,Prakash Chemicals Agencies Pvt. Ltd,https://www.linkedin.com/company/pcapl/?miniCompanyUrn=urn%3Ali%3Afs_miniCompany%3A82115818,50m • Edited • ,"EPR stands for Extended #Producer #Responsibility, and the #EPR #certificate is compulsory for #Indian #manufacturers and #imported products.

The main objective of EPR is to circle it back into the system to recover embedded in the waste.

The EPR Certificate concept is introduced to help improve waste , collection, and Treatment. EPR includes a cost-effective and approach to preventing, cleaning up, and recycling and E-waste.

For more information, you can visit:

Prakash chemicals agencies Pvt. ltd.
🌐",
